levels,themes,formats,teams_l,teams_r,scores_l,scores_r,times
B级,CN ES 2023: 第一幕 聚势CN赛区 进化者系列公开赛,(BO5),EDG,RA,3,1,2023/10/01 17:40
B级,CN ES 2023: 第一幕 聚势CN赛区 进化者系列公开赛,(BO3),EDG,FPX,2,0,2023/09/28 17:00
B级,CN ES 2023: 第一幕 聚势CN赛区 进化者系列公开赛,(BO3),EDG,ASE,2,0,2023/09/26 17:00
B级,CN ES 2023: 第一幕 聚势CN赛区 进化者系列公开赛,(BO3),EDG,TE,2,0,2023/09/23 19:10
S级,VCT 2023: 全球冠军赛,(BO3),EDG,LOUD,1,2,2023/08/21 03:00
S级,VCT 2023: 全球冠军赛,(BO3),EDG,BLG,2,1,2023/08/19 05:15
S级,VCT 2023: 全球冠军赛,(BO3),EDG,EG,1,2,2023/08/18 05:25
S级,VCT 2023: 全球冠军赛,(BO3),EDG,GIA,2,0,2023/08/14 03:00
S级,VCT 2023: 全球冠军赛,(BO3),EDG,PRX,0,2,2023/08/11 08:00
S级,VCT 2023: 全球冠军赛,(BO3),EDG,GIA,2,1,2023/08/10 05:20
A级,VCT 2023: CN赛区 资格赛,(BO5),EDG,BLG,3,1,2023/07/16 17:00
A级,VCT 2023: CN赛区 资格赛,(BO5),EDG,BLG,3,0,2023/07/13 17:00
A级,VCT 2023: CN赛区 资格赛,(BO5),EDG,TYL,3,0,2023/07/09 17:00
A级,VCT 2023: CN赛区 资格赛,(BO3),EDG,WBG,2,0,2023/07/06 19:00
S级,VCT 2023: 东京大师赛,(BO3),EDG,PRX,1,2,2023/06/20 14:00
S级,VCT 2023: 东京大师赛,(BO3),EDG,LOUD,2,0,2023/06/18 11:00
S级,VCT 2023: 东京大师赛,(BO3),EDG,TL,1,2,2023/06/16 14:00
S级,VCT 2023: 东京大师赛,(BO3),EDG,T1,2,0,2023/06/14 14:00
S级,VCT 2023: 东京大师赛,(BO3),EDG,NAVI,2,0,2023/06/13 17:00
S级,VCT 2023: 东京大师赛,(BO3),EDG,T1,1,2,2023/06/11 17:00
C级,FGC 2023: ACT2FGC无畏契约邀请赛,(BO5),EDG,BLG,3,0,2023/05/21 17:00
C级,FGC 2023: ACT2FGC无畏契约邀请赛,(BO5),EDG,ASE,3,0,2023/05/20 17:05
